Name,Profile URL,Position,Age,Nationality,Market Value,Market Value (€),Club,Slug,Season
Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,Goalkeeper,30,Spain,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,26,Ireland,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2024
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,24,England,€350k,350000.0,Afc Bournemouth,afc-bournemouth,2024
Ilya Zabarnyi,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,Centre-Back,22,Ukraine,€42.00m,42000000.0,Afc Bournemouth,afc-bournemouth,2024
Marcos Senesi,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781,Centre-Back,28,Argentina,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2024
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,27,Wales,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2024
James Hill,https://www.transfermarkt.com/james-hill/profil/spieler/611793,Centre-Back,23,England,€3.00m,3000000.0,Afc Bournemouth,afc-bournemouth,2024
Matai Akinmboni,https://www.transfermarkt.com/matai-akinmboni/profil/spieler/994604,Centre-Back,18,United States,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2024
Max Kinsey,https://www.transfermarkt.com/max-kinsey/profil/spieler/939615,Centre-Back,20,England,-,,Afc Bournemouth,afc-bournemouth,2024
Milos Kerkez,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,Left-Back,21,Hungary,€45.00m,45000000.0,Afc Bournemouth,afc-bournemouth,2024
Julio Soler,https://www.transfermarkt.com/julio-soler/profil/spieler/1009658,Left-Back,20,Argentina,€8.00m,8000000.0,Afc Bournemouth,afc-bournemouth,2024
Julián Araujo,https://www.transfermarkt.com/julian-araujo/profil/spieler/513970,Right-Back,23,Mexico,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Right-Back,34,England,€750k,750000.0,Afc Bournemouth,afc-bournemouth,2024
Tyler Adams,https://www.transfermarkt.com/tyler-adams/profil/spieler/332705,Defensive Midfield,26,United States,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2024
Ryan Christie,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Defensive Midfield,30,Scotland,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Alex Scott,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,Central Midfield,21,England,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2024
Lewis Cook,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089,Central Midfield,28,England,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2024
Justin Kluivert,https://www.transfermarkt.com/justin-kluivert/profil/spieler/330659,Attacking Midfield,26,Netherlands,€35.00m,35000000.0,Afc Bournemouth,afc-bournemouth,2024
Antoine Semenyo,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Left Winger,25,Ghana,€40.00m,40000000.0,Afc Bournemouth,afc-bournemouth,2024
Dango Ouattara,https://www.transfermarkt.com/dango-ouattara/profil/spieler/823231,Left Winger,23,Burkina Faso,€28.00m,28000000.0,Afc Bournemouth,afc-bournemouth,2024
Marcus Tavernier,https://www.transfermarkt.com/marcus-tavernier/profil/spieler/399434,Left Winger,26,England,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2024
Luis Sinisterra,https://www.transfermarkt.com/luis-sinisterra/profil/spieler/512385,Left Winger,25,Colombia,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2024
David Brooks,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,Right Winger,27,Wales,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Evanilson,https://www.transfermarkt.com/evanilson/profil/spieler/711337,Centre-Forward,25,Brazil,€35.00m,35000000.0,Afc Bournemouth,afc-bournemouth,2024
Enes Ünal,https://www.transfermarkt.com/enes-unal/profil/spieler/251106,Centre-Forward,28,Türkiye,€10.00m,10000000.0,Afc Bournemouth,afc-bournemouth,2024
Daniel Jebbison,https://www.transfermarkt.com/daniel-jebbison/profil/spieler/746740,Centre-Forward,21,Canada,€4.00m,4000000.0,Afc Bournemouth,afc-bournemouth,2024
Mark Travers,https://www.transfermarkt.com/mark-travers/profil/spieler/357658,Goalkeeper,25,Ireland,€3.50m,3500000.0,Afc Bournemouth,afc-bournemouth,2023
Ionuț Radu,https://www.transfermarkt.com/ionut-radu/profil/spieler/303657,Goalkeeper,27,Romania,€3.00m,3000000.0,Afc Bournemouth,afc-bournemouth,2023
Neto,https://www.transfermarkt.com/neto/profil/spieler/111819,Goalkeeper,34,Brazil,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2023
Will Dennis,https://www.transfermarkt.com/will-dennis/profil/spieler/582078,Goalkeeper,23,England,€350k,350000.0,Afc Bournemouth,afc-bournemouth,2023
Darren Randolph,https://www.transfermarkt.com/darren-randolph/profil/spieler/51321,Goalkeeper,37,Ireland,€300k,300000.0,Afc Bournemouth,afc-bournemouth,2023
Cameron Plain,https://www.transfermarkt.com/cameron-plain/profil/spieler/655136,Goalkeeper,22,England,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2023
Callan McKenna,https://www.transfermarkt.com/callan-mckenna/profil/spieler/983248,Goalkeeper,17,Scotland,€100k,100000.0,Afc Bournemouth,afc-bournemouth,2023
Ilya Zabarnyi,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,Centre-Back,21,Ukraine,€32.00m,32000000.0,Afc Bournemouth,afc-bournemouth,2023
Marcos Senesi,https://www.transfermarkt.com/marcos-senesi/profil/spieler/469781,Centre-Back,27,Argentina,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2023
Lloyd Kelly,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,Centre-Back,25,England,€18.00m,18000000.0,Afc Bournemouth,afc-bournemouth,2023
Chris Mepham,https://www.transfermarkt.com/chris-mepham/profil/spieler/480987,Centre-Back,26,Wales,€6.00m,6000000.0,Afc Bournemouth,afc-bournemouth,2023
James Hill,https://www.transfermarkt.com/james-hill/profil/spieler/611793,Centre-Back,22,England,€2.00m,2000000.0,Afc Bournemouth,afc-bournemouth,2023
Max Kinsey,https://www.transfermarkt.com/max-kinsey/profil/spieler/939615,Centre-Back,19,England,-,,Afc Bournemouth,afc-bournemouth,2023
Milos Kerkez,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,Left-Back,20,Hungary,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2023
Ben Greenwood,https://www.transfermarkt.com/ben-greenwood/profil/spieler/646333,Left-Back,22,Ireland,-,,Afc Bournemouth,afc-bournemouth,2023
Max Aarons,https://www.transfermarkt.com/max-aarons/profil/spieler/471690,Right-Back,24,England,€16.00m,16000000.0,Afc Bournemouth,afc-bournemouth,2023
Ryan Fredericks,https://www.transfermarkt.com/ryan-fredericks/profil/spieler/140191,Right-Back,31,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2023
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Right-Back,33,England,€1.00m,1000000.0,Afc Bournemouth,afc-bournemouth,2023
Tyler Adams,https://www.transfermarkt.com/tyler-adams/profil/spieler/332705,Defensive Midfield,25,United States,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2023
Ryan Christie,https://www.transfermarkt.com/ryan-christie/profil/spieler/188077,Defensive Midfield,29,Scotland,€12.00m,12000000.0,Afc Bournemouth,afc-bournemouth,2023
Philip Billing,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,Central Midfield,28,Denmark,€22.00m,22000000.0,Afc Bournemouth,afc-bournemouth,2023
Alex Scott,https://www.transfermarkt.com/alex-scott/profil/spieler/855256,Central Midfield,20,England,€20.00m,20000000.0,Afc Bournemouth,afc-bournemouth,2023
Lewis Cook,https://www.transfermarkt.com/lewis-cook/profil/spieler/249089,Central Midfield,27,England,€12.00m,12000000.0,Afc Bournemouth,afc-bournemouth,2023
Joe Rothwell,https://www.transfermarkt.com/joe-rothwell/profil/spieler/183293,Central Midfield,29,England,€2.50m,2500000.0,Afc Bournemouth,afc-bournemouth,2023
Gavin Kilkenny,https://www.transfermarkt.com/gavin-kilkenny/profil/spieler/469064,Central Midfield,24,Ireland,€300k,300000.0,Afc Bournemouth,afc-bournemouth,2023
Romain Faivre,https://www.transfermarkt.com/romain-faivre/profil/spieler/555076,Right Midfield,25,France,€15.00m,15000000.0,Afc Bournemouth,afc-bournemouth,2023
